"gameID (S)","Age (N)","Description (S)","Image (S)","Name (S)","Players (NS)","Tags (L)","Time (NS)","Year (N)","Rules (S)"
"10547","12","From the press release:

Betrayal at House on the Hill quickly builds suspense and excitement as players explore a haunted mansion of their own design, encountering spirits and frightening omens that foretell their fate. With an estimated one hour playing time, Betrayal at House on the Hill is ideal for parties, family gatherings or casual fun with friends.

Betrayal at House on the Hill is a tile game that allows players to build their own haunted house room by room, tile by tile, creating a new thrilling game board every time. The game is designed for three to six people, each of whom plays one of six possible characters.

Secretly, one of the characters betrays the rest of the party, and the innocent members of the party must defeat the traitor in their midst before it's too late! Betrayal at House on the Hill will appeal to any game player who enjoys a fun, suspenseful, and strategic game.

Betrayal at House on the Hill includes detailed game pieces, including character cards, pre-painted plastic figures, and special tokens, all of which help create a spooky atmosphere and streamline game play.

An updated reprint of Betrayal at House on the Hill was released on October 5, 2010.

","https://cf.geekdo-images.com/lqmt2Oti_qJS65XqHcB8AA__original/img/7R6yYk8A2eUMmSDaxGjae5SceGI=/0x0/filters:format(png)/pic5146864.png","Betrayal at House on the Hill","{ 3, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Adventure"" },      ""TagID"" : { ""N"" : ""1022"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Exploration"" },      ""TagID"" : { ""N"" : ""1020"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Horror"" },      ""TagID"" : { ""N"" : ""1024"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Miniatures"" },      ""TagID"" : { ""N"" : ""1047"" }    }  }]","{ 60 } ","2004","https://media.wizards.com/2018/downloads/rules/betrayal_rules.pdf "
"105593","7","Cheating is forbidden? Not in this naughty game of cards - in fact, you'll probably have to cheat in order to win.

In Mogel Motte you want to get rid of all the cards in your hand before anyone else. Each player starts the round with a hand of eight cards, with one player (the oldest) receiving the guard bug - which stays on the table throughout the game - and one card being turnd face-up to start a discard pile. The cards are numbered 1-5, with the majority of them having only numbers; some cards have special abilities that come into play when added to the discard pile or in a player's hand.

On a turn, a player places one card from her hand onto the discard pile; that card must be numbered exactly one higher or lower than the card on top of the discard pile. (The numbers wrap, so a 1 can be played on a 5 and vice versa.) If a player can't play a card, she draws one from the deck and her turn ends.

There's another way to rid yourself of cards, though: cheating! Throughout the round, you can make cards disappear by dropping them on the floor, hiding them up your sleeve and so on. You must keep your hand of cards above the table at all times, you can't vanish more than one card at once, and you can't rid yourself of your final card this way. The player with the guard bug - and only him! - can call out other players for cheating, and no one can cheat while the accusation is being resolved. If the accusation was false, the Guard must draw a card; otherwise the cheating player takes back the card she tried to lose, is given a card from the Guard's hand as additional punishment, and becomes the new Guard.

Cheating is a necessity as the 'Cheating Moth' cards can't be played onto the discard pile, but must be disappeared via cheating. (The Guard, however, can play these cards as the Guard is not allowed to cheat.)

The action cards work as follows:


    Ant: After an ant is played, everyone but the active player must take a card from the draw pile.
    Cockroach: After a cockroach is played, everyone races to play an identically-numbered card on top of it. Only the fastest player gets to leave her card in place.
    Mosquito: After a mosquito is played, everyone but the active player must slap the pile of cards. Whoever is slowest receives a card from the hand of all other players.
    Spider: After playing this, give a non-Cheating Moth card from your hand to another player.


When one player has no cards in hand, the round ends. All other players score 10 points for each Cheating Moth in hand, 5 points for each action card, and 1 point for each number card. After a number of rounds equal to the number of players, the game ends and the player with the lowest score wins.

","https://cf.geekdo-images.com/7w7ht4bmAnu0j-_qgcYPiQ__original/img/C1hf_pbsGvD5HP-N0iHME_HSH1E=/0x0/filters:format(jpeg)/pic2220182.jpg","Cheating Moth","{ 3, 5 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Action / Dexterity"" },      ""TagID"" : { ""N"" : ""1032"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  }]","{ 30 } ","2011","http://www.nordicgames.is/wp-content/uploads/2015/06/Cheating_Moth_Rules_EN.pdf"
"1080","10","extrapolated from user review:

The object is to be the first player to evolve along the 6 stages of evolution into man. You start as a lungfish. Over the course of a turn, you roll a die to determine if you get to mutate, and then move to run away from predators.

Mutation is easier if you are in a warm climate. And if you are lucky enough to get a mutation card, you will either evolve, or pick up some mutation which can affect your movement or mutation abilities.

At the end of your turn, you flip up a card which lets you move and introduce certain type of new predators, evolve predators, and move continents.

Yes, the continents drift around the board, offering you chances to break a land bridge to strand your opponents on a plate along with a few hungry dinosaurs. Or drift yourself southward to bask and mutate in the sun.

The only other twist is that predators can only eat during certain player evolutionary stages. So trying not to mutate can be a very good idea at certain stages of the game. Being eaten costs you an evolutionary stage-so picking on the leader can help keep the game even.

","https://cf.geekdo-images.com/L3BZMXWaOX9zZXyGedHDyQ__original/img/AfRmsKVRNRgm2LlKVIZzRK_O02o=/0x0/filters:format(jpeg)/pic279884.jpg","Evolution","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Prehistoric"" },      ""TagID"" : { ""N"" : ""1036"" }    }  }]","{ 45 } ","1986",
"122647","8","Challenge your family to games based on the hit ITV gameshow The Cube . The show's nail-biting format has been cleverly downsized for this fun family game that retains all the best elements of the series. There are seven rounds of physical and electronic challenges to complete and players have just nine lives to use up before being booted out of the game. There are options to do a Trial Run or Simplify the challenges, just like in the show, and with 50 different games included, The Cube Game is sure to keep the whole family entertained. Designed for two to six players aged eight and up, the The Cube Game is great for fans of the TV show but just as fun for those who are new to the format. Features: Family game based on the ITV gameshow Complete seven rounds of games to win 50 different games to complete Use your nine lives, Trial Run and Simplify tokens For 2 to 6 players, aged 8 and up
__","https://cf.geekdo-images.com/8OmqUQdAFuA1HXqsSNFSUA__original/img/Tbxrj1TWQetTKr8Z9bvUYfbWyMI=/0x0/filters:format(jpeg)/pic1600105.jpg","The Cube","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Action / Dexterity"" },      ""TagID"" : { ""N"" : ""1032"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Movies / TV / Radio theme"" },      ""TagID"" : { ""N"" : ""1064"" }    }  }]","{ 1 } ","2011","https://www.johnadams.co.uk/wp-content/uploads/2016/07/The-Cube-Pages-1-6-2-3.pdf"
"12420","8","Like Jenga,  but blocks come in three different colors. At the start of each player's turn, a dice roll determines which color (red, blue, or yellow) or location (end or middle) must be removed.

","https://cf.geekdo-images.com/kAKeu8eXkHMHiQbLz55hOg__original/img/ReMn7AQOvgO29SZ6YgYTqaJaqyA=/0x0/filters:format(jpeg)/pic66605.jpg","Throw 'n Go Jenga","{ 99, 1 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Action / Dexterity"" },      ""TagID"" : { ""N"" : ""1032"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Children's Game"" },      ""TagID"" : { ""N"" : ""1041"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Party Game"" },      ""TagID"" : { ""N"" : ""1030"" }    }  }]","{ 15 } ","1986","https://www.ultraboardgames.com/jenga/throw-and-go.php"
"1258","8","A rummy-type card game where players compete to be the first to finish completing all ten phases.  Phases include collecting runs of numbers, collecting certain number of a given color cards, etc.  The first player to finish completing the 10th phase wins.  In case of ties, the player with the fewest number of points wins.

","https://cf.geekdo-images.com/GxkFWsT_JtPZAPTt79_dCw__original/img/TX0LeOlfRbh7JEsa-QzaYfjVIFc=/0x0/filters:format(jpeg)/pic5885677.jpg","Phase 10","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  }]","{ 45 } ","1982","https://service.mattel.com/instruction_sheets/FBN53-Eng.pdf"
"129359","12","Munchkin Pathfinder, which includes 168 cards and uses the setting of the Pathfinder role-playing game from Paizo Publishing, can be played as a standalone game or combined with any other core Munchkin game. That said, while Munchkin Pathfinder includes Classes and something new for this set - Factions - the game does not use Races.
__As for what you'll find in the set, you can try out new classes like Alchemist and Witch; join a faction to become an Eagle Knight or a Red Mantis Assassin; or arm yourself with the T-Bone Stake and the Armor of Insults. You'll need those latter items to defeat the Ghoul Friday, the Whispering Tyrant, and especially Lamashtu, the Mother of Monsters. But first you'll have to fight your way through all those goblins...and kill them and take their stuff!
__Munchkin Pathfinder Deluxe contains the same cards, die and rules as Munchkin Pathfinder, but also includes a game board, pawns and plastic stands. Munchkin Pathfinder Deluxe also features a brand-new mechanism - 'Factions' - and a new D6 for the iconic Pathfinder Goblin.
__","https://cf.geekdo-images.com/vRimUOTB4iXWBnkY6ILhFw__original/img/WG2oG7lzXuQi2diE3alpzU6cHfY=/0x0/filters:format(jpeg)/pic1641599.jpg","Munchkin Pathfinder","{ 3, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Card Game"" },      ""TagID"" : { ""N"" : ""1002"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Fantasy"" },      ""TagID"" : { ""N"" : ""1010"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Fighting"" },      ""TagID"" : { ""N"" : ""1046"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Humor"" },      ""TagID"" : { ""N"" : ""1079"" }    }  }]","{ 60, 90 } ","2013","https://munchkin.game/site-munchkin/assets/files/1144/munchkin_pathfinder_rules.pdf "
"1294","8","For versions of Clue that feature the new character Dr. Orchid, please use this Clue page.

The classic detective game!  In Clue, players move from room to room in a mansion to solve the mystery of: who done it, with what, and where?  Players are dealt character, weapon, and location cards after the top card from each card type is secretly placed in the confidential file in the middle of the board.  Players must move to a room and then make an accusation against a character saying they did it in that room with a specific weapon.  The player to the left must show one of any cards accused to the accuser if in that player's hand.  Through deductive reasoning each player must figure out which character, weapon, and location are in the secret file.  To do this, each player must uncover what cards are in other players hands by making more and more accusations.  Once a player knows what cards the other players are holding, they will know what cards are in the secret file.  A great game for those who enjoy reasoning and thinking things out.

Note: There are some early versions of Clue which are labeled as 2-6 players.

","https://cf.geekdo-images.com/owlmDA10KegcwPaapY5auw__original/img/JJ5Pw1-6M7GUZ7OhFxEybSaryiM=/0x0/filters:format(png)/pic5146918.png","Clue","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Bluffing"" },      ""TagID"" : { ""N"" : ""1023"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Deduction"" },      ""TagID"" : { ""N"" : ""1039"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Movies / TV / Radio theme"" },      ""TagID"" : { ""N"" : ""1064"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Murder/Mystery"" },      ""TagID"" : { ""N"" : ""1040"" }    }  }]","{ 45 } ","1949","https://www.hasbro.com/common/documents/dad2885d1c4311ddbd0b0800200c9a66/2BFAEC9E5056900B102C3859E9AC6332.pdf"
"1298","8","Monopoly Star Wars style.  In this version of Monopoly players must buy up property and build homes in the Star Wars universe.

","https://cf.geekdo-images.com/1681hSRa_LVRj1mCSW61CA__original/img/sF9zhd503MBjA7hq3VVlQHMENpA=/0x0/filters:format(jpeg)/pic84546.jpg","Monopoly: Star Wars","{ 8, 2 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Economic"" },      ""TagID"" : { ""N"" : ""1021"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Movies / TV / Radio theme"" },      ""TagID"" : { ""N"" : ""1064"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Negotiation"" },      ""TagID"" : { ""N"" : ""1026"" }    }  }]","{ 90 } ","1997","https://www.hasbro.com/common/instruct/Monopoly_Star_Wars_Edition(40786).PDF"
"130592","8","Refresh of classic Clue/Cluedo game. Significant change: Adds a new character, Dr. Orchid. Also includes two-player rules.

Clue/do is a murder mystery game. The aim is to find out who committed the murder, which weapon they used, and where in the mansion they did it. How do you solve the case? By careful questioning of your fellow players you can deduce which information is concealed in the crime envelope. The trick is to be clever with your questioning... Everyone develops their own system! 
 This version of the game plays faster than older versions of Clue, with the help of bigger spaces on the board, special Red Cards, and a new layout of the mansion so you can walk between rooms. The bedroom has an ensuite, and you can wander from the kitchen straight into the dining room.

All new artwork brings this classic murder mystery to life, with a high level of detail.

It also comes with cool red dice!

Note: In this version of Clue, when playing with the 2-player/Team rules: before you deal the black Clue cards to the players, you take the top four black CLUE cards from the deck and place them face down in a row at the side of the board. When the other player/team cannot answer your question, you get to secretly look at one of the four cards at the side of the board.

You also don't use the Red Bonus cards in a 2-player/Team game.

","https://cf.geekdo-images.com/5NJKy5K9c0tyCTnTWFekeQ__original/img/RlWgyKfLDdxIErDCmtFmogfvxoU=/0x0/filters:format(png)/pic3181978.png","Clue","{ 2, 6 } ","[  { ""M"" : {      ""Tag"" : { ""S"" : ""Bluffing"" },      ""TagID"" : { ""N"" : ""1023"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Deduction"" },      ""TagID"" : { ""N"" : ""1039"" }    }  },  { ""M"" : {      ""Tag"" : { ""S"" : ""Murder/Mystery"" },      ""TagID"" : { ""N"" : ""1040"" }    }  }]","{ 40 } ","2012","https://www.hasbro.com/common/documents/dad2885d1c4311ddbd0b0800200c9a66/2BFAEC9E5056900B102C3859E9AC6332.pdf"
